Rank,Model ID,Lab,Downloads,Likes,Pipeline Tag,Created Date,Library,Private,Gated
1,Qwen/Qwen3-0.6B,Qwen,14197109,1176,text-generation,2025-04-27,transformers,False,False
2,Qwen/Qwen3-8B,Qwen,9286171,1028,text-generation,2025-04-27,transformers,False,False
3,Qwen/Qwen3-4B,Qwen,8666826,587,text-generation,2025-04-27,transformers,False,False
4,Qwen/Qwen3-1.7B,Qwen,7688544,439,text-generation,2025-04-27,transformers,False,False
5,Qwen/Qwen3-4B-Instruct-2507,Qwen,6966585,794,text-generation,2025-08-05,transformers,False,False
6,Qwen/Qwen3-Embedding-0.6B,Qwen,5882179,963,feature-extraction,2025-06-03,sentence-transformers,False,False
7,Qwen/Qwen3.5-9B,Qwen,4858521,1193,image-text-to-text,2026-02-27,transformers,False,False
8,Qwen/Qwen3-VL-30B-A3B-Instruct,Qwen,4470097,556,image-text-to-text,2025-09-30,transformers,False,False
9,Qwen/Qwen3-VL-8B-Instruct,Qwen,4285098,852,image-text-to-text,2025-10-11,transformers,False,False
10,Qwen/Qwen3-32B,Qwen,3349845,678,text-generation,2025-04-27,transformers,False,False
11,Qwen/Qwen3.5-35B-A3B,Qwen,3249885,1330,image-text-to-text,2026-02-24,transformers,False,False
12,Qwen/Qwen3.5-27B,Qwen,3070552,872,image-text-to-text,2026-02-24,transformers,False,False
13,Qwen/Qwen3.5-4B,Qwen,2776033,438,image-text-to-text,2026-02-27,transformers,False,False
14,Qwen/Qwen3-14B,Qwen,2558131,382,text-generation,2025-04-27,transformers,False,False
15,Qwen/Qwen3-VL-4B-Instruct,Qwen,2165301,365,image-text-to-text,2025-10-11,transformers,False,False
16,meta-llama/Llama-Guard-4-12B,meta-llama,79628,89,image-text-to-text,2025-04-23,transformers,False,False
17,meta-llama/Llama-Prompt-Guard-2-86M,meta-llama,58581,98,text-classification,2025-04-28,transformers,False,False
18,meta-llama/Llama-Prompt-Guard-2-22M,meta-llama,25973,35,text-classification,2025-04-28,transformers,False,False
19,mistralai/Voxtral-Mini-4B-Realtime-2602,mistralai,892475,795,automatic-speech-recognition,2026-01-21,vllm,False,False
20,mistralai/Mistral-Small-3.2-24B-Instruct-2506,mistralai,751045,577,,2025-06-19,vllm,False,False
21,mistralai/Voxtral-Mini-3B-2507,mistralai,538607,636,,2025-07-01,mistral-common,False,False
22,mistralai/Ministral-3-14B-Instruct-2512,mistralai,336538,271,,2025-10-31,vllm,False,False
23,mistralai/Ministral-3-8B-Instruct-2512,mistralai,235673,161,,2025-10-31,vllm,False,False
24,mistralai/Devstral-Small-2-24B-Instruct-2512,mistralai,141870,576,,2025-11-28,vllm,False,False
25,mistralai/Ministral-3-3B-Instruct-2512,mistralai,117397,216,,2025-10-31,vllm,False,False
26,mistralai/Devstral-2-123B-Instruct-2512,mistralai,113116,312,,2025-11-28,vllm,False,False
27,mistralai/Devstral-Small-2505,mistralai,96540,866,,2025-05-12,vllm,False,False
28,mistralai/Mistral-Small-4-119B-2603,mistralai,70264,345,,2026-01-23,,False,False
29,mistralai/Ministral-3-3B-Instruct-2512-BF16,mistralai,56733,25,,2025-10-31,vllm,False,False
30,mistralai/Magistral-Small-2506,mistralai,41760,609,,2025-06-04,vllm,False,False
31,mistralai/Devstral-Small-2507,mistralai,40343,363,,2025-07-04,mistral-common,False,False
32,mistralai/Voxtral-Small-24B-2507,mistralai,28454,475,audio-text-to-text,2025-07-01,vllm,False,False
33,mistralai/Ministral-3-3B-Base-2512,mistralai,24234,62,,2025-10-31,vllm,False,False
34,google/embeddinggemma-300m,google,1088384,1577,sentence-similarity,2025-07-17,sentence-transformers,False,False
35,google/gemma-4-31B-it,google,678740,1140,image-text-to-text,2026-03-11,transformers,False,False
36,google/gemma-4-26B-A4B-it,google,476612,451,image-text-to-text,2026-03-11,transformers,False,False
37,google/t5gemma-s-s-prefixlm,google,383878,3,text-generation,2025-06-19,transformers,False,False
38,microsoft/Phi-tiny-MoE-instruct,microsoft,606924,35,text-generation,2025-06-23,transformers,False,False
39,microsoft/VibeVoice-ASR,microsoft,570630,1000,automatic-speech-recognition,2026-01-21,transformers,False,False
40,microsoft/VibeVoice-Realtime-0.5B,microsoft,569587,1176,text-to-speech,2025-12-04,transformers,False,False
41,tencent/HunyuanOCR,tencent,207254,561,image-text-to-text,2025-11-18,transformers,False,False
42,tencent/HunyuanImage-3.0,tencent,101783,660,text-to-image,2025-09-25,transformers,False,False
43,tencent/KaLM-Embedding-Gemma3-12B-2511,tencent,95531,88,sentence-similarity,2025-11-04,sentence-transformers,False,False
44,tencent/Hunyuan3D-2.1,tencent,31277,885,image-to-3d,2025-06-13,hunyuan3d-2,False,False
45,tencent/Hunyuan-A13B-Instruct,tencent,17795,616,text-generation,2025-06-25,transformers,False,False
46,tencent/HY-MT1.5-1.8B,tencent,13348,592,translation,2025-12-25,transformers,False,False
47,tencent/Hunyuan-7B-Instruct,tencent,10345,87,text-generation,2025-07-30,transformers,False,False
48,tencent/Penguin-VL-8B,tencent,8510,74,text-generation,2026-03-05,transformers,False,False
49,tencent/Penguin-Encoder,tencent,7918,21,feature-extraction,2026-03-05,transformers,False,False
50,tencent/HunyuanWorld-1,tencent,6482,419,image-to-3d,2025-07-21,diffusion-single-file,False,False
51,tencent/HunyuanWorld-Mirror,tencent,6394,271,image-to-3d,2025-10-16,,False,False
52,tencent/HY-MT1.5-7B,tencent,6270,146,translation,2025-12-25,transformers,False,False
53,tencent/HY-MT1.5-1.8B-GGUF,tencent,5981,78,translation,2025-12-30,transformers,False,False
54,tencent/Hunyuan-MT-7B,tencent,5971,553,translation,2025-08-28,transformers,False,False
55,tencent/HY-MT1.5-7B-GGUF,tencent,4302,45,translation,2025-12-30,transformers,False,False
56,deepseek-ai/DeepSeek-OCR,deepseek-ai,2256557,3202,image-text-to-text,2025-10-17,transformers,False,False
57,deepseek-ai/DeepSeek-OCR-2,deepseek-ai,1284384,894,image-text-to-text,2026-01-27,transformers,False,False
58,deepseek-ai/DeepSeek-V3.2,deepseek-ai,995263,1371,text-generation,2025-12-01,transformers,False,False
59,deepseek-ai/DeepSeek-R1-0528,deepseek-ai,768809,2413,text-generation,2025-05-28,transformers,False,False
60,deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,deepseek-ai,155617,1045,text-generation,2025-05-29,transformers,False,False
61,deepseek-ai/DeepSeek-V3.1,deepseek-ai,138408,819,text-generation,2025-08-21,transformers,False,False
62,deepseek-ai/DeepSeek-V3.2-Exp,deepseek-ai,130043,978,text-generation,2025-09-29,transformers,False,False
63,deepseek-ai/DeepSeek-Prover-V2-7B,deepseek-ai,90335,140,,2025-04-30,,False,False
64,nvidia/Llama-3.1-Nemotron-Nano-VL-8B-V1,nvidia,1707806,177,image-text-to-text,2025-06-03,transformers,False,False
65,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,nvidia,1631998,248,text-generation,2026-03-10,transformers,False,False
66,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,nvidia,1157526,702,text-generation,2025-12-04,transformers,False,False
67,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,nvidia,1154296,330,text-generation,2025-12-06,transformers,False,False
68,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-FP8,nvidia,1079758,217,text-generation,2026-03-10,transformers,False,False
69,nvidia/Kimi-K2.5-NVFP4,nvidia,770306,78,text-generation,2026-01-30,Model Optimizer,False,False
70,nvidia/DeepSeek-R1-0528-NVFP4-v2,nvidia,580725,22,text-generation,2025-07-21,Model Optimizer,False,False
71,nvidia/NVIDIA-Nemotron-Nano-12B-v2-VL-FP8,nvidia,563110,50,image-text-to-text,2025-10-22,transformers,False,False
72,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,nvidia,548242,136,text-generation,2025-12-20,transformers,False,False
73,nvidia/NVIDIA-Nemotron-Nano-9B-v2-Japanese,nvidia,524768,132,text-generation,2026-02-04,transformers,False,False
74,nvidia/NVIDIA-Nemotron-Parse-v1.1,nvidia,505784,164,image-text-to-text,2025-11-15,transformers,False,False
75,nvidia/NVIDIA-Nemotron-Nano-9B-v2,nvidia,450938,487,text-generation,2025-08-12,transformers,False,False
76,nvidia/personaplex-7b-v1,nvidia,417234,2362,audio-to-audio,2025-12-31,moshi,False,False
77,nvidia/Qwen3.5-397B-A17B-NVFP4,nvidia,361848,87,text-generation,2026-02-16,Model Optimizer,False,False
78,nvidia/Qwen3-14B-NVFP4,nvidia,316846,7,text-generation,2025-09-09,Model Optimizer,False,False
79,openai/gpt-oss-20b,openai,5658968,4509,text-generation,2025-08-04,transformers,False,False
80,openai/gpt-oss-120b,openai,3753149,4649,text-generation,2025-08-04,transformers,False,False
81,openai/gpt-oss-safeguard-20b,openai,49850,204,text-generation,2025-09-18,transformers,False,False
82,openai/gpt-oss-safeguard-120b,openai,19299,92,text-generation,2025-09-18,transformers,False,False
83,openai/circuit-sparsity,openai,1473,204,text-generation,2025-12-11,transformers,False,False
84,arcee-ai/Trinity-Nano-Preview,arcee-ai,19114,70,text-generation,2025-12-01,transformers,False,False
85,arcee-ai/AFM-4.5B-Base,arcee-ai,19042,34,text-generation,2025-07-29,transformers,False,False
86,arcee-ai/Trinity-Large-Preview-W4A16,arcee-ai,17243,6,text-generation,2026-02-13,transformers,False,False
87,arcee-ai/Trinity-Mini,arcee-ai,7812,183,text-generation,2025-12-01,transformers,False,False
88,arcee-ai/Trinity-Large-Thinking,arcee-ai,7107,111,text-generation,2026-04-01,transformers,False,False
89,arcee-ai/Trinity-Large-Preview-FP8,arcee-ai,4445,32,text-generation,2026-01-27,transformers,False,False
90,arcee-ai/Trinity-Nano-Base,arcee-ai,2991,25,text-generation,2025-12-01,transformers,False,False
91,arcee-ai/Trinity-Large-Thinking-GGUF,arcee-ai,2772,16,,2026-03-31,,False,False
92,arcee-ai/Trinity-Large-Thinking-FP8-Block,arcee-ai,2399,5,text-generation,2026-04-01,transformers,False,False
93,arcee-ai/Trinity-Mini-Base,arcee-ai,2070,20,text-generation,2025-12-01,transformers,False,False
94,arcee-ai/AFM-4.5B,arcee-ai,1272,96,text-generation,2025-07-29,transformers,False,False
95,arcee-ai/Trinity-Large-Preview,arcee-ai,1210,170,text-generation,2026-01-27,transformers,False,False
96,arcee-ai/Trinity-Large-Thinking-W4A16,arcee-ai,1207,7,text-generation,2026-04-01,transformers,False,False
97,arcee-ai/Trinity-Mini-GGUF,arcee-ai,1008,54,text-generation,2025-12-01,transformers,False,False
98,moonshotai/Kimi-K2.5,moonshotai,6209692,2424,image-text-to-text,2026-01-01,transformers,False,False
99,moonshotai/Kimi-VL-A3B-Instruct,moonshotai,281214,258,image-text-to-text,2025-04-09,transformers,False,False
100,moonshotai/Kimi-VL-A3B-Thinking,moonshotai,111936,447,image-text-to-text,2025-04-09,transformers,False,False
101,moonshotai/Kimi-VL-A3B-Thinking-2506,moonshotai,106253,355,image-text-to-text,2025-06-21,transformers,False,False
102,moonshotai/Kimi-K2-Instruct,moonshotai,94003,2332,text-generation,2025-07-11,transformers,False,False
103,moonshotai/Kimi-K2-Instruct-0905,moonshotai,82868,697,text-generation,2025-09-03,transformers,False,False
104,moonshotai/Kimi-Linear-48B-A3B-Instruct,moonshotai,57129,556,text-generation,2025-10-30,transformers,False,False
105,moonshotai/Kimi-K2-Thinking,moonshotai,54817,1685,text-generation,2025-11-04,transformers,False,False
106,moonshotai/Kimi-Audio-7B-Instruct,moonshotai,39404,391,text-to-speech,2025-04-25,kimi-audio,False,False
107,moonshotai/Kimi-K2-Base,moonshotai,8805,297,text-generation,2025-07-03,transformers,False,False
108,moonshotai/Kimi-Dev-72B,moonshotai,1314,383,text-generation,2025-06-16,transformers,False,False
109,moonshotai/MoonViT-SO-400M,moonshotai,1203,39,image-feature-extraction,2025-04-10,transformers,False,False
110,LiquidAI/LFM2.5-1.2B-Instruct,LiquidAI,310384,553,text-generation,2026-01-06,transformers,False,False
111,LiquidAI/LFM2.5-1.2B-Instruct-GGUF,LiquidAI,182051,150,text-generation,2026-01-04,,False,False
112,LiquidAI/LFM2.5-VL-1.6B-GGUF,LiquidAI,175440,73,image-text-to-text,2026-01-04,,False,False
113,LiquidAI/LFM2.5-VL-1.6B,LiquidAI,139283,266,image-text-to-text,2026-01-05,transformers,False,False
114,LiquidAI/LFM2-VL-450M-GGUF,LiquidAI,89989,41,image-text-to-text,2025-08-17,,False,False
115,LiquidAI/LFM2.5-Audio-1.5B-GGUF-LEAP,LiquidAI,86533,0,,2026-01-05,,False,False
116,LiquidAI/LFM2-VL-3B-GGUF,LiquidAI,74495,34,image-text-to-text,2025-10-22,,False,False
117,LiquidAI/LFM2-24B-A2B-GGUF,LiquidAI,66035,119,text-generation,2026-02-17,transformers,False,False
118,LiquidAI/LFM2.5-1.2B-Thinking-GGUF,LiquidAI,48879,77,text-generation,2026-01-16,,False,False
119,LiquidAI/LFM2-8B-A1B,LiquidAI,48583,345,text-generation,2025-10-07,transformers,False,False
120,LiquidAI/LFM2-350M-ENJP-MT-GGUF,LiquidAI,48277,29,translation,2025-09-03,transformers,False,False
121,LiquidAI/LFM2-350M-GGUF,LiquidAI,47118,57,text-generation,2025-07-12,,False,False
122,LiquidAI/LFM2-2.6B-GGUF,LiquidAI,46444,47,text-generation,2025-09-23,,False,False
123,LiquidAI/LFM2-24B-A2B,LiquidAI,40052,305,text-generation,2026-02-24,transformers,False,False
124,LiquidAI/LFM2-1.2B,LiquidAI,39427,352,text-generation,2025-07-10,transformers,False,False
125,nvidia/Llama-3.1-Nemotron-Nano-VL-8B-V1,nvidia,1707806,177,image-text-to-text,2025-06-03,transformers,False,False
126,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,nvidia,1631998,248,text-generation,2026-03-10,transformers,False,False
127,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,nvidia,1157526,702,text-generation,2025-12-04,transformers,False,False
128,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,nvidia,1154296,330,text-generation,2025-12-06,transformers,False,False
129,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-FP8,nvidia,1079758,217,text-generation,2026-03-10,transformers,False,False
130,nvidia/Kimi-K2.5-NVFP4,nvidia,770306,78,text-generation,2026-01-30,Model Optimizer,False,False
131,nvidia/DeepSeek-R1-0528-NVFP4-v2,nvidia,580725,22,text-generation,2025-07-21,Model Optimizer,False,False
132,nvidia/NVIDIA-Nemotron-Nano-12B-v2-VL-FP8,nvidia,563110,50,image-text-to-text,2025-10-22,transformers,False,False
133,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,nvidia,548242,136,text-generation,2025-12-20,transformers,False,False
134,nvidia/NVIDIA-Nemotron-Nano-9B-v2-Japanese,nvidia,524768,132,text-generation,2026-02-04,transformers,False,False
135,nvidia/NVIDIA-Nemotron-Parse-v1.1,nvidia,505784,164,image-text-to-text,2025-11-15,transformers,False,False
136,nvidia/NVIDIA-Nemotron-Nano-9B-v2,nvidia,450938,487,text-generation,2025-08-12,transformers,False,False
137,nvidia/personaplex-7b-v1,nvidia,417234,2362,audio-to-audio,2025-12-31,moshi,False,False
138,nvidia/Qwen3.5-397B-A17B-NVFP4,nvidia,361848,87,text-generation,2026-02-16,Model Optimizer,False,False
139,nvidia/Qwen3-14B-NVFP4,nvidia,316846,7,text-generation,2025-09-09,Model Optimizer,False,False
140,zai-org/GLM-OCR,zai-org,5084451,1571,image-to-text,2026-01-30,transformers,False,False
141,zai-org/GLM-5-FP8,zai-org,1915111,167,text-generation,2026-02-11,transformers,False,False
142,zai-org/GLM-4.7-Flash,zai-org,996011,1653,text-generation,2026-01-19,transformers,False,False
143,zai-org/GLM-4.1V-9B-Thinking,zai-org,412435,773,image-text-to-text,2025-06-28,transformers,False,False
144,zai-org/GLM-4.5-Air,zai-org,402407,593,text-generation,2025-07-20,transformers,False,False
145,zai-org/GLM-5,zai-org,295830,1957,text-generation,2026-02-11,transformers,False,False
146,zai-org/GLM-ASR-Nano-2512,zai-org,184196,359,automatic-speech-recognition,2025-12-09,transformers,False,False
147,zai-org/GLM-4.7,zai-org,133594,1946,text-generation,2025-12-22,transformers,False,False
148,zai-org/GLM-4.6V,zai-org,77392,388,image-text-to-text,2025-12-07,transformers,False,False
149,zai-org/AutoGLM-Phone-9B,zai-org,76741,433,image-text-to-text,2025-12-08,transformers,False,False
150,zai-org/GLM-4.5,zai-org,65761,1397,text-generation,2025-07-20,transformers,False,False
151,zai-org/GLM-4.7-FP8,zai-org,52054,120,text-generation,2025-12-22,transformers,False,False
152,zai-org/GLM-4.5V,zai-org,44147,714,image-text-to-text,2025-08-10,transformers,False,False
153,zai-org/GLM-4.6V-Flash,zai-org,39865,594,image-text-to-text,2025-12-07,transformers,False,False
154,zai-org/GLM-4.5-Air-FP8,zai-org,26860,80,text-generation,2025-07-20,transformers,False,False
155,ibm-granite/granite-embedding-small-english-r2,ibm-granite,1035693,66,feature-extraction,2025-07-17,sentence-transformers,False,False
156,ibm-granite/granite-3.3-8b-instruct,ibm-granite,417626,154,text-generation,2025-04-09,transformers,False,False
157,ibm-granite/granite-speech-3.3-2b,ibm-granite,194728,50,automatic-speech-recognition,2025-04-28,transformers,False,False
158,ibm-granite/granite-4.0-h-small,ibm-granite,183317,307,text-generation,2025-09-16,transformers,False,False
159,ibm-granite/granite-4.0-micro-base,ibm-granite,157955,40,text-generation,2025-09-16,transformers,False,False
160,ibm-granite/granite-vision-3.3-2b,ibm-granite,117501,83,image-to-text,2025-06-03,,False,False
161,ibm-granite/granite-4.0-micro,ibm-granite,106126,265,text-generation,2025-09-16,transformers,False,False
162,ibm-granite/granite-embedding-english-r2,ibm-granite,96492,81,feature-extraction,2025-07-17,sentence-transformers,False,False
163,ibm-granite/granite-4.0-h-tiny,ibm-granite,74285,198,text-generation,2025-09-16,transformers,False,False
164,ibm-granite/granite-speech-3.3-8b,ibm-granite,71881,165,automatic-speech-recognition,2025-04-14,transformers,False,False
165,ibm-granite/granite-4.0-1b-speech,ibm-granite,70647,216,automatic-speech-recognition,2026-02-27,transformers,False,False
166,ibm-granite/granite-timeseries-tspulse-r1,ibm-granite,59113,35,,2025-06-03,granite-tsfm,False,False
167,ibm-granite/granite-docling-258M,ibm-granite,54324,1144,image-text-to-text,2025-05-19,transformers,False,False
168,ibm-granite/granite-4.0-h-micro,ibm-granite,48073,142,text-generation,2025-09-16,transformers,False,False
169,ibm-granite/granite-4.0-tiny-preview,ibm-granite,45093,184,text-generation,2025-04-30,transformers,False,False
